"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2025","10.1310","10.1345","10.1403","10.1285","","-0.01%"
"12/31/2024","10.1325","10.1180","10.1400","10.0944","","0.17%"
"12/30/2024","10.1148","10.0920","10.1396","10.0792","","0.24%"
"12/27/2024","10.0910","10.0594","10.1071","10.0471","","0.41%"
"12/26/2024","10.0494","10.0575","10.0708","10.0442","","-0.06%"
"12/25/2024","10.0550","10.0586","10.0659","10.0458","","0.07%"
"12/24/2024","10.0478","10.0554","10.0748","10.0352","","-0.11%"
"12/23/2024","10.0590","10.0414","10.0812","10.0354","","0.20%"
"12/20/2024","10.0389","10.0671","10.0814","10.0338","","-0.17%"
"12/19/2024","10.0559","10.0722","10.0769","10.0170","","-0.14%"
"12/18/2024","10.0697","9.9925","10.0788","9.9736","","0.87%"
"12/17/2024","9.9825","9.9895","10.0036","9.9713","","0.08%"
"12/16/2024","9.9745","9.9837","10.0096","9.9637","","0.06%"
"12/13/2024","9.9681","10.0202","10.0360","9.9606","","-0.42%"
"12/12/2024","10.0102","9.9860","10.0293","9.9388","","0.27%"
"12/11/2024","9.9835","10.0019","10.0272","9.9559","","-0.08%"
"12/10/2024","9.9919","10.0152","10.0217","9.9792","","-0.21%"
"12/09/2024","10.0127","9.9719","10.0205","9.9558","","0.52%"
"12/06/2024","9.9605","9.9227","9.9770","9.9100","","0.40%"
"12/05/2024","9.9206","9.9564","9.9644","9.9118","","-0.26%"
"12/04/2024","9.9466","9.9975","10.0122","9.9350","","-0.41%"
"12/03/2024","9.9875","10.0173","10.0284","9.9822","","-0.20%"
"12/02/2024","10.0073","9.9965","10.0417","9.9902","","0.26%"
"11/29/2024","9.9812","10.0049","10.0165","9.9770","","-0.10%"
"11/28/2024","9.9912","9.9955","10.0278","9.9913","","-0.06%"
"11/27/2024","9.9975","10.0375","10.0455","9.9813","","-0.37%"
"11/26/2024","10.0350","10.0407","10.0821","9.9986","","0.10%"
"11/25/2024","10.0250","10.0730","10.0799","10.0122","","-0.40%"
"11/22/2024","10.0656","10.0185","10.1045","10.0017","","0.57%"
"11/21/2024","10.0085","9.9932","10.0325","9.9757","","0.25%"
"11/20/2024","9.9832","9.9738","10.0166","9.9628","","0.11%"
"11/19/2024","9.9718","10.0020","10.0253","9.9638","","-0.20%"
"11/18/2024","9.9920","10.0020","10.0020","10.0020","","0.00%"
"11/15/2024","9.9920","9.9868","10.0184","9.9580","","0.08%"
"11/14/2024","9.9841","9.9568","10.0119","9.9493","","0.37%"
"11/13/2024","9.9468","9.9143","9.9686","9.9038","","0.35%"
"11/12/2024","9.9118","9.9290","9.9420","9.8982","","-0.14%"
"11/11/2024","9.9255","9.9050","9.9430","9.8835","","0.42%"
"11/08/2024","9.8839","9.8628","9.9065","9.8477","","0.23%"
"11/07/2024","9.8612","9.9010","9.9203","9.8465","","-0.38%"
"11/06/2024","9.8984","9.7912","9.9040","9.7880","","1.11%"
"11/05/2024","9.7894","9.8412","9.8517","9.7844","","-0.43%"
"11/04/2024","9.8314","9.8281","9.8505","9.7996","","0.13%"
"11/01/2024","9.8182","9.8295","9.8505","9.8066","","-0.09%"
"10/31/2024","9.8270","9.8540","9.8653","9.8221","","-0.17%"
"10/30/2024","9.8440","9.8520","9.8771","9.8268","","-0.06%"
"10/29/2024","9.8495","9.8530","9.8817","9.8352","","0.07%"
"10/28/2024","9.8430","9.8905","9.8975","9.8406","","-0.45%"
"10/25/2024","9.8870","9.8665","9.8919","9.8550","","0.23%"
"10/24/2024","9.8641","9.9043","9.9185","9.8623","","-0.38%"
"10/23/2024","9.9018","9.8967","9.9215","9.8805","","0.08%"
"10/22/2024","9.8942","9.9096","9.9105","9.8708","","-0.08%"
"10/21/2024","9.9022","9.9334","9.9531","9.8819","","-0.24%"
"10/18/2024","9.9265","9.9136","9.9410","9.8912","","0.20%"
"10/17/2024","9.9066","9.8673","9.9272","9.8597","","0.42%"
"10/16/2024","9.8651","9.8408","9.8781","9.8272","","0.32%"
"10/15/2024","9.8333","9.8415","9.8614","9.8158","","-0.06%"
"10/14/2024","9.8390","9.8102","9.8588","9.7938","","0.36%"
"10/11/2024","9.8040","9.8280","9.8368","9.7976","","-0.19%"
"10/10/2024","9.8228","9.8340","9.8522","9.8077","","-0.08%"
"10/09/2024","9.8310","9.8067","9.8408","9.7983","","0.30%"
"10/08/2024","9.8014","9.8162","9.8259","9.7925","","-0.12%"
"10/07/2024","9.8135","9.8126","9.8456","9.8072","","-0.06%"
"10/04/2024","9.8196","9.7752","9.8280","9.7572","","0.53%"
"10/03/2024","9.7678","9.7860","9.7997","9.7556","","-0.11%"
"10/02/2024","9.7782","9.7580","9.7937","9.7448","","0.17%"
"10/01/2024","9.7620","9.7250","9.7787","9.7131","","0.41%"
